Артикул поставщика;Полное наименование;Бренд;Ширина;Высота;Диаметр;Индекс нагрузки;Индекс скорости;Гарантия, мес.;Сезон;Тип шин;Шипы;Производитель;Срок эксплуатации, лет;Типоразмер;Протектор;Страна (предусмотреть несколько вариантов);Поставщик;Технология RunFlat;Картинка;РРЦ;ОПТ;Остатки;Ссылка на описание;Артикул производителя;
6154;Летняя шина Barum Bravuris 2 215/65R15 96H;BARUM;215;65;15;96;H;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;215/65R15;Barum Bravuris 2;Румыния;"ООО ""Оптшинторг""";Нет;barum-bravuris-2.jpg;153;144,3;2;ыва;ыва;ыва
10858;Летняя шина Barum Bravuris 3 HM 175/55R15 77T;BARUM;175;55;15;77;T;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;175/55R15;Barum Bravuris 3 HM;Франция;"ООО ""Оптшинторг""";Нет;barum-bravuris-3-hm.jpg;104,1;98,1;6;;;
10869;Летняя шина Barum Bravuris 3 HM 225/35R19 88Y;BARUM;225;35;19;88;Y;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;225/35R19;Barum Bravuris 3 HM;Чешская Республика;"ООО ""Оптшинторг""";Нет;barum-bravuris-3-hm.jpg;211,2;199,2;2;;;
1540585000;Летняя шина Barum Bravuris 3 HM 235/55R17 103Y;BARUM;235;55;17;103;Y;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;235/55R17;Barum Bravuris 3 HM;;"ООО ""Оптшинторг""";Нет;barum-bravuris-3-hm.jpg;259,98;259,98;2;;;
10690;Летняя шина Barum Bravuris 4x4 225/70R16 103H;BARUM;225;70;16;103;H;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;225/70R16;Barum Bravuris 4x4;Словакия;"ООО ""Оптшинторг""";Нет;barum-bravuris-4x4.jpg;187,8;179,1;8;;;
5584;Летняя шина Barum Bravuris 4x4 235/60R16 100H;BARUM;235;60;16;100;H;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;235/60R16;Barum Bravuris 4x4;Португалия;"ООО ""Оптшинторг""";Нет;barum-bravuris-4x4.jpg;153,3;147;3;;;
1535048000;Летняя шина Barum Bravuris 4x4 235/60R18 107V;BARUM;235;60;18;107;V;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;235/60R18;Barum Bravuris 4x4;;"ООО ""Оптшинторг""";Нет;barum-bravuris-4x4.jpg;284,88;284,88;2;;;
6184;Летняя шина Barum Bravuris 4x4 255/65R16 109H;BARUM;255;65;16;109;H;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;255/65R16;Barum Bravuris 4x4;Чешская Республика;"ООО ""Оптшинторг""";Нет;barum-bravuris-4x4.jpg;197,4;186,3;2;;;
12263;Летняя шина Barum Bravuris 5HM 215/60R17 96V;BARUM;215;60;17;99;V;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;215/60R17;Barum Bravuris 5HM;Словакия;"ООО ""Оптшинторг""";Нет;barum-bravuris-5hm.jpg;200,1;188,7;4;;;
12890;Летняя шина Barum Bravuris 5HM 255/45R19 104Y;BARUM;255;45;19;104;Y;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;255/45R19;Barum Bravuris 5HM;Чешская Республика;"ООО ""Оптшинторг""";Нет;barum-bravuris-5hm.jpg;301,5;284,4;2;;;
12261;Летняя шина Barum Bravuris 5HM 255/65R16 109H;BARUM;255;65;16;109;H;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;255/65R16;Barum Bravuris 5HM;Чешская Республика;"ООО ""Оптшинторг""";Нет;barum-bravuris-5hm.jpg;196,5;185,4;4;;;
10620;Летняя шина Barum Brillantis 2 185/60R15 88H;BARUM;185;60;15;88;H;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;185/60R15;Barum Brillantis 2;Португалия;"ООО ""Оптшинторг""";Нет;barum-brillantis-2.jpg;113,4;107,1;4;;;
6233;Летняя шина Barum Brillantis 2 185/70R14 88T;BARUM;185;70;14;88;T;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;185/70R14;Barum Brillantis 2;Португалия;"ООО ""Оптшинторг""";Нет;barum-brillantis-2.jpg;98,4;96;2;;;
11484;Летняя шина Barum Brillantis 2 265/70R16 112H;BARUM;265;70;16;112;H;12 мес.;Летние;Легковые шины;Нет;Континентал Барум с.р.о.;5;265/70R16;Barum Brillantis 2;Чешская Республика;"ООО ""Оптшинторг""";Нет;barum-brillantis-2.jpg;223,5;210,9;12;;;
13025ру;Зимняя шина Barum Polaris 5 175/65R14 82T;BARUM;175;65;14;82;T;12 мес.;Зимние;Легковые шины;Нет;Континентал Барум с.р.о.;5;175/65R14;Barum Polaris 5;Россия;"ООО ""Оптшинторг""";Нет;barum-polaris-5.jpg;99,9;90;1;;;
12556;Зимняя шина Barum Polaris 5 135/80R13 70T;BARUM;135;80;13;70;T;12 мес.;Зимние;Легковые шины;Нет;Континентал Барум с.р.о.;5;135/80R13;Barum Polaris 5;Чешская Республика;"ООО ""Оптшинторг""";Нет;barum-polaris-5.jpg;80,7;74,7;4;;;
12664;Зимняя шина Barum Polaris 5 155/65R14 75T;BARUM;155;65;14;75;T;12 мес.;Зимние;Легковые шины;Нет;Континентал Барум с.р.о.;5;155/65R14;Barum Polaris 5;Португалия;"ООО ""Оптшинторг""";Нет;barum-polaris-5.jpg;104,4;96;3;;;
12695;Зимняя шина Barum Polaris 5 165/70R13 79T;BARUM;165;70;13;79;T;12 мес.;Зимние;Легковые шины;Нет;Континентал Барум с.р.о.;5;165/70R13;Barum Polaris 5;Румыния;"ООО ""Оптшинторг""";Нет;barum-polaris-5.jpg;102;94,5;4;;;
13025ру;Зимняя шина Barum Polaris 5 175/65R14 82T;BARUM;175;65;14;82;T;12 мес.;Зимние;Легковые шины;Нет;Континентал Барум с.р.о.;5;175/65R14;Barum Polaris 5;Россия;"ООО ""Оптшинторг""";Нет;barum-polaris-5.jpg;99,9;90;1;;;
